Id,OrderNumber,AccountId,InstrumentId,Volume,OpenDate,OpenPrice,Swap,TakeProfit,StopLoss,Margin,IsBuy,Commission,CurrentPrice,Profit,TradeVolume,TotalProfit,ClientType
183187,183187,111217,8929,0.30000000,2019-12-09 07:56:16.793,2.23400000,0.00000000,0.00000000,0.00000000,268.08000000,1,0.00000000,2.02900000,-615.00000000,6087.00000000,-615.00000000,4
185319,185319,111217,8932,1.00000000,2020-01-14 10:22:38.727,58.35000000,0.00000000,60.96000000,0.00000000,583.50000000,1,0.00000000,58.84000000,490.00000000,58840.00000000,490.00000000,3
185335,185335,111217,8931,5.00000000,2020-01-17 06:28:06.940,13502.00000000,0.00000000,0.00000000,0.00000000,751.95616860,1,0.00000000,13526.25000000,134.85910000,75231.64987500,134.85910000,0
185472,185472,111217,8931,10.00000000,2020-01-16 08:26:40.890,13451.05000000,0.00000000,0.00000000,0.00000000,1500.45117645,1,0.00000000,13526.25000000,836.40448000,150463.29975000,836.40448000,3
30337,30337,111217,8932,4.00000000,2018-10-17 14:45:36.153,69.68000000,0.00000000,0.00000000,0.00000000,2787.20000000,1,0.00000000,58.84000000,-43360.00000000,235360.00000000,-43360.00000000,3
178863,178863,111217,8931,2.00000000,2019-10-31 09:20:09.580,12816.00000000,0.00000000,0.00000000,0.00000000,286.25936535,0,0.00000000,13527.85000000,-1583.69540600,30092.43176800,-1583.69540600,3
22264,22264,111546,8581,0.01000000,2018-08-30 14:25:59.983,280.67800000,10.36592789,0.00000000,0.00000000,5.00000000,1,0.00000000,301.20000000,68.13413014,1000.00000000,78.50005803,0
22267,22267,111546,8598,0.01000000,2018-08-30 14:27:03.297,14.61200000,-10.38298000,0.00000000,0.00000000,1.46120000,1,0.00000000,17.98600000,33.74000000,179.86000000,23.35702000,0
22430,22430,111546,8463,0.01000000,2018-08-31 13:14:12.303,1.08817000,-4.81771874,0.00000000,0.00000000,3.60505000,1,0.00000000,1.04053000,-31.59961200,690.54000000,-36.41733074,0
23437,23437,114380,8460,0.01000000,2018-09-08 09:44:12.270,0.93587000,-5.51667131,0.00000000,0.00000000,3.55420000,1,0.00000000,0.90043000,-27.17270461,690.54000000,-32.68937593,1
23440,23439,114380,8472,0.01000000,2018-09-08 09:45:08.817,81.12000000,-0.01318868,0.00000000,0.00000000,0.18636545,0,0.00000000,72.15100000,0.09977384,0.80245620,0.08658516,0
23444,23444,114380,8458,0.02000000,2018-09-08 10:06:47.950,106.08000000,0.01026388,0.00000000,0.00000000,0.42432000,0,0.00000000,130.48000000,-0.48800000,2.60960000,-0.47773611,1
28641,28641,115136,8612,1.00000000,2018-10-09 09:37:29.793,6621.60000000,-4.87190000,0.00000000,0.00000000,1324.32000000,1,0.00000000,8874.99000000,2253.39000000,8874.99000000,2248.51810000,2
127437,127437,115261,8603,10.00000000,2019-05-07 09:50:12.473,12248.08000000,0.00000000,0.00000000,0.00000000,1371.63798304,1,0.00000000,13525.75000000,14210.11797300,150464.50072500,14210.11797300,2
57093,57093,115261,8604,0.45000000,2019-01-03 08:01:18.260,45.48000000,0.00000000,24.00000000,0.00000000,204.66000000,0,0.00000000,58.96000000,-6066.00000000,26532.00000000,-6066.00000000,2
57792,57792,115261,8603,3.00000000,2019-01-04 10:24:52.363,10559.98600000,0.00000000,10299.99000000,0.00000000,361.19395771,0,0.00000000,13528.35000000,-9906.29149356,45138.28675950,-9906.29149356,5
184018,184018,115261,8599,0.10000000,2019-12-18 13:06:09.527,1475.00000000,-34.48000000,1600.00000000,1500.00000000,147.50000000,1,0.00000000,1554.54000000,795.40000000,15545.40000000,760.92000000,2
184974,184974,115261,8599,0.10000000,2020-01-08 19:03:01.533,1555.55000000,-11.20600000,1600.00000000,1520.00000000,155.55200000,1,0.00000000,1554.54000000,-10.10000000,15545.40000000,-21.30600000,2
185170,185170,115261,8601,0.40000000,2020-01-10 17:14:44.757,2.20400000,0.00000000,1.60000000,0.00000000,352.64000000,0,0.00000000,2.05400000,600.00000000,8216.00000000,600.00000000,2
185230,185230,115261,8598,0.10000000,2020-01-13 12:09:06.117,18.03600000,-0.61560000,18.60000000,0.00000000,18.03600000,1,0.00000000,17.98600000,-5.00000000,1798.60000000,-5.61560000,5
185264,185264,115261,8598,0.31000000,2020-01-14 01:00:10.483,17.95000000,-1.59030000,18.60000000,0.00000000,55.63570000,1,0.00000000,17.98600000,11.16000000,5575.66000000,9.56970000,2
185396,185396,115261,8598,0.15000000,2020-01-15 06:47:22.943,17.86600000,-0.61560000,19.60000000,0.00000000,26.79900000,1,0.00000000,17.98600000,18.00000000,2697.90000000,17.38440000,2
61559,61559,115261,8603,2.00000000,2019-01-14 15:23:30.973,10856.43000000,0.00000000,10299.99000000,0.00000000,248.99656462,0,0.00000000,13528.35000000,-5944.64793120,30092.19117300,-5944.64793120,5
171188,171188,115261,8599,0.10000000,2019-09-18 19:38:32.007,1495.00000000,-135.33400000,1600.00000000,1500.00000000,149.50000000,1,0.00000000,1554.54000000,595.40000000,15545.40000000,460.06600000,2
171896,171896,115261,8601,0.20000000,2019-09-23 09:12:58.430,2.52500000,0.00000000,2.60000000,0.00000000,202.00000000,1,0.00000000,2.02800000,-994.00000000,4056.00000000,-994.00000000,2
172291,172291,115261,8601,0.10000000,2019-09-24 14:50:34.997,2.55800000,0.00000000,2.60000000,0.00000000,102.32000000,1,0.00000000,2.02800000,-530.00000000,2028.00000000,-530.00000000,2
172688,172688,115261,8599,0.10000000,2019-09-25 16:22:49.713,1506.77000000,-127.57600000,1600.00000000,1500.00000000,150.67700000,1,0.00000000,1554.54000000,477.70000000,15545.40000000,350.12400000,5
172956,172956,115261,8601,0.10000000,2019-09-26 14:48:53.873,2.44500000,0.00000000,2.60000000,0.00000000,97.80000000,1,0.00000000,2.02800000,-417.00000000,2028.00000000,-417.00000000,5
121923,121923,115261,8604,1.00000000,2019-04-24 12:36:26.423,66.31000000,0.00000000,100.00000000,0.00000000,663.10000000,1,0.00000000,58.83000000,-7480.00000000,58830.00000000,-7480.00000000,1
140066,140066,115261,8603,5.00000000,2019-06-06 07:06:03.227,11984.93000000,0.00000000,9555.88000000,0.00000000,672.49239970,0,0.00000000,13528.35000000,-8584.73355300,75230.47793250,-8584.73355300,2
113161,113161,115400,8510,0.01000000,2019-04-05 15:37:19.190,1.12154000,16.69260000,0.00000000,0.00000000,5.60770000,0,0.00000000,1.11243000,9.11000000,1112.19000000,25.80260000,5
104188,104188,115400,8577,0.01000000,2019-03-25 12:50:15.320,0.99234000,-39.01865061,0.00000000,0.00000000,5.00000000,0,0.00000000,0.96648000,26.75689098,1000.00000000,-12.26175962,5
184731,184731,115757,8510,0.20000000,2020-01-07 07:12:32.340,1.11861000,-29.42800000,0.00000000,0.00000000,111.86100000,1,0.00000000,1.11219000,-128.40000000,22248.60000000,-157.82800000,5
185001,185001,115757,8520,0.10000000,2020-01-09 07:52:40.947,1.31112000,-7.75000000,0.00000000,0.00000000,65.55600000,1,0.00000000,1.30492000,-62.00000000,13052.50000000,-69.75000000,5
185458,185458,115757,8555,0.10000000,2020-01-16 07:24:46.943,0.66273000,0.03300000,0.00000000,0.00000000,33.13650000,0,0.00000000,0.66368000,-9.50000000,6633.00000000,-9.46700000,5
149196,149196,115921,8450,0.10000000,2019-07-02 10:00:24.420,133.51000000,0.00000000,0.00000000,0.00000000,3.01855429,0,0.00000000,149.41100000,-1.76887494,16.61734200,-1.76887494,1
185434,185434,115925,8510,0.10000000,2020-01-15 14:32:52.113,1.11628000,-4.20400000,1.12000000,1.10900000,55.81400000,1,0.00000000,1.11219000,-40.90000000,11124.30000000,-45.10400000,0
185506,185506,115925,8510,0.10000000,2020-01-16 22:43:22.963,1.11388000,0.00000000,1.12000000,0.00000000,55.69400000,1,0.00000000,1.11219000,-16.90000000,11124.30000000,-16.90000000,0
185526,185526,116019,8506,0.10000000,2020-01-17 07:52:45.260,1.67538000,0.00000000,0.00000000,0.00000000,55.68000000,0,0.00000000,1.67683000,-9.62336000,11121.90000000,-9.62336000,4
185527,185527,116019,8497,0.10000000,2020-01-17 07:54:21.260,1.61238000,0.00000000,0.00000000,0.00000000,55.68400000,1,0.00000000,1.61105000,-9.18045800,11124.30000000,-9.18045800,4
179282,179282,116314,8440,0.10000000,2019-10-31 20:54:01.500,54.04000000,0.00000000,0.00000000,0.00000000,48.46767178,0,0.00000000,58.96000000,-442.27501955,5896.00000000,-442.27501955,5
180300,180300,116314,8437,0.50000000,2019-11-11 07:32:16.580,2.70400000,0.00000000,0.00000000,0.00000000,490.37476311,1,0.00000000,2.02800000,-3039.04908334,10140.00000000,-3039.04908334,5
181690,181690,116314,8437,0.10000000,2019-11-22 21:35:24.220,2.72200000,0.00000000,0.00000000,0.00000000,98.76632801,1,0.00000000,2.02800000,-623.99410172,2028.00000000,-623.99410172,5
183907,183907,116314,8353,0.10000000,2019-12-16 17:06:23.063,1.31148000,5.61177859,0.00000000,0.00000000,59.81196428,1,0.00000000,1.26097000,-470.04597621,13052.50000000,-464.43419762,5
183864,183864,116802,8576,0.10000000,2019-12-27 12:57:43.513,1.30800000,1.03586917,0.00000000,0.00000000,50.00000000,1,0.00000000,1.30425000,-28.75215641,10000.00000000,-27.71628723,5
53392,53392,117119,8577,0.01000000,2018-12-20 10:50:34.073,0.98666000,-48.30365791,0.00000000,0.00000000,5.00000000,0,0.00000000,0.96648000,20.87989404,1000.00000000,-27.42376386,2
182414,182414,117768,8587,0.10000000,2019-12-02 15:16:38.690,9.54651000,15.38175180,0.00000000,0.00000000,50.00000000,1,0.00000000,9.48229000,-67.72625599,10000.00000000,-52.34450419,3
182846,182846,117768,8555,0.10000000,2019-12-04 16:56:32.107,0.65255000,1.91400000,0.00000000,0.00000000,32.62750000,0,0.00000000,0.66368000,-111.30000000,6633.00000000,-109.38600000,3
