iter	Passed	Remaining
985	52327	742
986	52382	689
987	52440	636
988	52489	583
989	52541	530
990	52594	477
991	52646	424
992	52705	371
993	52762	318
994	52814	265
995	52866	212
996	52925	159
997	52982	106
998	53031	53
999	53086	0
